Category,Level 3,Level 2,Level 1,Cluster
Sporting,doing a workout,-,ice skating,22
Hobby,-,playing games,sudoku,23
Hobby,-,playing games,jigsaw puzzles,23
Hobby,-,playing videogames,-,
Hobby,-,playing games,playing pool,102
Hobby,-,playing games,lasergaming,102
Hobby,-,pet activities,-,
Hobby,-,-,watering plant,24
Hobby,-,-,repotting plant,24
Hobby,working on a creative task,singing,-,-
Hobby,working on a creative task,playing an instrument,-,-
Hobby,working on a creative task,acting / practicing (theatre / comedy),-,-
Hobby,working on a creative task,photo/ video shooting,-,-
Hobby,working on a creative task,,-,-
Hobby,working on a creative task,-,looking at old picture/ photos/videos,25
Hobby,working on a creative task,-,crafting a photo wall,25
Hobby,working on a creative task,-,assembling a miniature,25
Hobby,working on a creative task,-,painting,26
Hobby,working on a creative task,-,drawing,26
Hobby,working on a creative task,-,making a bracelet,27
Hobby,working on a creative task,-,crochet,27
Hobby,working on a creative task,-,knitting,27
Hobby,working on a creative task,-,reading,28
Hobby,working on a creative task,-,writing poem for Sinterklaas,28
Hobby,working on a creative task,journalling,-,-
Chores,small errands,-,picking up/ bringing away mail,31
Chores,planning/ organising,-,-,-
Chores,-,-,handywork/ renovation,29
Chores,-,-,tidying up,30
Chores,-,-,cleaning,30
Chores,-,-,doing groceries,30
Chores,-,-,doing laundry,30
Chores,-,-,packing/ unpacking suitcase,32
Health,doctor's appointment,-,therapy session,33
Health,doctor's appointment,-,physiotherapy,33
Health,doctor's appointment,-,going to the pharmacy,33
Health,doctor's appointment,-,going to the hospital,33
Health,doctor's appointment,-,dentist appointment,33
Health,not feeling well,-,crying,34
Health,not feeling well,being sick/injured,having a headache,35
Health,not feeling well,being sick/injured,taking a covid test,35
Health,not feeling well,being sick/injured,being hungover,35
Social,hanging out/ being/ meeting with someone,-,talking,36
Social,hanging out/ being/ meeting with someone,-,having a fight,36
Social,hanging out/ being/ meeting with someone,-,being intimate/ cuddling,36
Social,hanging out/ being/ meeting with someone,-,fooling around,36
Social,-,helping/ supporting someone,picking someone up/ bringing someone away,37
Social,visiting family/ friends overnight,-,-,-
Substance use,-,-,smoking (not specified),38
Substance use,-,-,smoking weed/ taking drugs,38
Substance use,-,-,having an (alcoholic) drink/ having a borrel,38
Party,-,-,playing drinking games,39
Party,-,going out/partying,-,-
Party,-,going to a concert,-,-
Party,-,going to a festival,-,-
Party,preparing for a holiday/ event (celebration),-,christmas celebration,40
Party,preparing for a holiday/ event (celebration),-,other holiday celebration,40
Party,preparing for a holiday/ event (celebration),-,birthday celebration,40
Buying,going shopping,-,going to a hardware store,41
Buying,going shopping,-,going to a bookstore,41
Buying,going shopping,buying gifts,-,-
Buying,online shopping,buying gifts,-,-
Buying,going shopping,-,shopping clothing,42
Buying,going shopping,-,buying jewellery,42
Buying,going shopping,-,shopping home goods/ furniture,42
Buying,online shopping,-,shopping clothing,42
Buying,online shopping,-,buying jewlery,42
Buying,online shopping,-,shopping home goods/ furniture,42
Digital,-,-,listening to music/ radio,43
Digital,-,-,listening to a podcast,43
Digital,-,-,watching sport (tv),43
Digital,-,-,watching videos/ TV shows/ Movies,43
Digital,-,-,watching/ reading news,43
Digital,browsing on the laptop,social media use,-,-
Digital,browsing on the phone,social media use,-,-
Digital,browsing on the laptop,-,texting/ chatting/checking messages,44
Digital,browsing on the laptop,-,emailing,44
Digital,browsing on the laptop,-,(video) calling,44
Digital,browsing on the phone,-,texting/ chatting/checking messages,44
Digital,browsing on the phone,-,emailing,44
Digital,browsing on the phone,-,(video) calling,44
Other,-,-,had a house viewing,45
