"","source","target","level_source","level_target","value"
"83","Intellectual entertainment","Intellectual entertainment (e.g., crosswords)","2","1",1
"84","Cultural events","Cultural events (e.g., concert, theatre play)","2","1",1
"85","Ability games","Ability games (e.g., billiards, bowling)","2","1",1
"86","Walking","Hiking","2","1",1
"87","Formal errands","Formal errands (e.g., at the post office)","2","1",1
"88","Informal errands","Informal errands (e.g., making an appointment at a beauty salon)","2","1",1
"89","Caring for a family","Caring for a family (e.g., cooking)","2","1",1
"90","Shopping","Shopping at a store","3","1",1
"91","Buying gifts","Buying gifts online","2","1",1
"92","Buying gifts","Buying gifts at a store","2","1",1
"93","Medical care","Medical errands","2","1",1
"94","Getting ready","Everyday getting ready to go out","2","1",1
"95","Beauty treatment","Beauty treatment at a beauty salon","2","1",1
"96","Beauty treatment","Beauty treatment at home","2","1",1
"97","Getting ready for a party/date","Getting ready for a party","2","1",1
"98","Getting ready for a party/date","Getting ready for a date","2","1",1
"99","Helping","Helping someone one knows","3","1",1
"100","Helping","Helping a stranger","3","1",1
"101","Important events","Someone else important events (e.g., wedding)","3","1",1
"102","Important events","Ones important event","3","1",1
"103","Social activity","Passive engagement in social activity","3","1",1
"104","Social activity","Active engagement in social activity (e.g., volunteering)","3","1",1
"105","Babysitting","Caring for a child (e.g., cooking)","2","1",1
"106","Babysitting","Training cognitive skills with a child","2","1",1
"107","Babysitting","Training physical skills with a child","2","1",1
"108","Babysitting","Playing with a child","2","1",1
"109","Babysitting","Participating in important events in a child’s life","2","1",1
"110","Talking to family","Talking with a family member face to face","2","1",1
"111","Talking to family","Talking with a family member on the phone or online","2","1",1
"112","Time with family","Hosting a family member","2","1",1
"113","Time with family","Meeting a family member in a public place","2","1",1
"114","Time with family","Visiting a family member","2","1",1
"115","Talking to strangers","Talking to a stranger face to face","2","1",1
"116","Talking to acquaintances","Talking with acquaintances face to face","2","1",1
"117","Talking to acquaintances","Talking with acquaintances on the phone or online","2","1",1
"118","Talking to friends","Talking with friends face to face","2","1",1
"119","Talking to friends","Talking with friends on the phone or online","2","1",1
"120","Time with acquaintances","Hosting acquaintances","2","1",1
"121","Time with acquaintances","Meeting acquaintances in a public place","2","1",1
"122","Time with acquaintances","Visiting acquaintances","2","1",1
"123","Time with friends","Hosting friends","3","1",1
"124","Time with friends","Meeting friends in a public place","3","1",1
"125","Time with friends","Visiting friends","3","1",1
"126","Date","Dating","2","1",1
"127","Talking to partner","Talking with a partner face to face","2","1",1
"128","Talking to partner","Talking with a partner on the phone or online","2","1",1
"129","Time with partner","Hosting a partner","3","1",1
"130","Time with partner","Meeting a partner in a public place","3","1",1
"131","Time with partner","Visiting a partner","3","1",1
"132","Caring for a pet","Walking pets","2","1",1
"133","Caring for a pet","Caring for pets (e.g., feeding)","2","1",1
"134","Caring for a pet","Playing with pets","2","1",1
"135","Caring for a pet","Training pets","2","1",1
"136","Exams","Taking exams at school","2","1",1
"137","Exams","Taking exams at a university","2","1",1
"138","Exams","Taking exams at extra classes","2","1",1
"139","Extra classes","Participating in extra classes","2","1",1
"140","In lecture","Participating in school lessons","2","1",1
"141","In lecture","Participating in lectures at a university","2","1",1
"142","Studying","Studying for school individually","2","1",1
"143","Studying","Studying for school in a group of students","2","1",1
"144","Studying","Studying for university classes individually","2","1",1
"145","Studying","Studying for university classes in a group of students","2","1",1
"146","Studying","Studying for extra classes individually","2","1",1
"147","Studying","Studying for extra classes in a group of students","2","1",1
